member_id,full_name,class_name,join_date,role,position
3120123069,Hoàng Thu Giang,,2025-09-02,officer,Chủ nhiệm
3120123062,Vũ Ngọc Khánh,,2025-09-08,officer,Phó chủ nhiệm
3120123044,Nguyễn Thị An,,2025-09-09,member,
3120123070,Vũ Hoàng Việt,,2025-09-10,member,
3120123048,Vũ Xuân Dũng,,2025-09-13,member,
3120123051,Huỳnh Thị Dũng,,2025-09-25,member,
3120123003,Phan Văn An,,2025-09-28,member,
3120123007,Phan Đức Đạt,,2025-09-28,member,
3120123001,Trần Văn Đạt,,2025-09-29,member,
3120123018,Võ Hữu Giang,,2025-09-30,member,
3120123021,Vũ Xuân Hương,,2025-10-04,member,
3120123059,Võ Thu Châu,,2025-10-08,member,
3120123034,Huỳnh Thu An,,2025-10-17,member,
3120123032,Võ Hoàng Dũng,,2025-10-18,member,
3120123014,Hoàng Thu Giang,,2025-10-18,member,
3120123013,Hoàng Thị Dũng,,2025-10-19,member,
3120123055,Nguyễn Thị Dũng,,2025-10-23,member,
3120123053,Hoàng Thu Dũng,,2025-10-27,member,
3120123005,Phạm Ngọc Hùng,,2025-10-28,member,
3120123004,Phạm Ngọc Việt,,2025-11-11,member,
3120123064,Trần Hữu Hùng,,2025-11-12,member,
3120123035,Hoàng Hữu An,,2025-11-12,member,
3120123061,Nguyễn Đức An,,2025-11-14,member,
3120123002,Lê Thị Khánh,,2025-11-15,member,
3120123033,Lê Ngọc Khánh,,2025-11-16,member,
3120123063,Võ Thị Châu,,2025-11-16,member,
3120123065,Phạm Hoàng Việt,,2025-11-19,member,
3120123020,Phạm Hoàng Giang,,2025-11-23,member,
3120123006,Đặng Thanh An,,2025-11-29,member,
3120123036,Trần Thị Hương,,2025-12-07,member,
3120123047,Đặng Hoàng Hương,,2025-12-10,member,
